Year&Month		Temperature - (Celsius)
1991.01		25.1631
1991.02		26.0839
1991.03		26.2236
1991.04		25.5812
1991.05		24.6618
1991.06		23.9439
1991.07		22.9982
1991.08		23.0391
1991.09		23.9423
1991.1		25.5236
1991.11		24.5875
1991.12		24.7398
1992.01		24.4359
1992.02		26.2892
1992.03		26.5409
1992.04		26.0819
1992.05		24.7852
1992.06		24.0563
1992.07		22.8377
1992.08		22.7902
1992.09		23.8958
1992.1		24.7925
1992.11		24.4195
1992.12		24.4344
1993.01		24.2897
1993.02		25.0506
1993.03		25.7925
1993.04		25.9763
1993.05		24.9779
1993.06		23.7715
1993.07		22.8375
1993.08		23.5543
1993.09		23.8431
1993.1		24.2092
1993.11		25.2338
1993.12		24.5048
1994.01		24.6522
1994.02		25.9058
1994.03		25.7528
1994.04		25.6103
1994.05		24.6294
1994.06		23.7561
1994.07		22.8275
1994.08		23.5708
1994.09		24.1753
1994.1		25.222
1994.11		24.1713
1994.12		24.3497
1995.01		24.9216
1995.02		25.9945
1995.03		26.1929
1995.04		26.0064
1995.05		24.8333
1995.06		24.1121
1995.07		23.2944
1995.08		23.6887
1995.09		24.3098
1995.1		25.3407
1995.11		25.0667
1995.12		25.0193
1996.01		25.7146
1996.02		26.4811
1996.03		26.5805
1996.04		25.7333
1996.05		24.6923
1996.06		23.7897
1996.07		23.1185
1996.08		23.2079
1996.09		24.014
1996.1		24.8826
1996.11		24.6425
1996.12		24.9152
1997.01		25.5562
1997.02		25.9044
1997.03		26.1192
1997.04		25.2267
1997.05		24.7565
1997.06		23.8643
1997.07		23.3821
1997.08		23.5251
1997.09		24.9931
1997.1		25.0558
1997.11		24.4959
1997.12		24.6103
1998.01		25.613
1998.02		26.3175
1998.03		26.7041
1998.04		25.8261
1998.05		24.5654
1998.06		24.1029
1998.07		23.3852
1998.08		23.313
1998.09		24.3268
1998.1		25.8522
1998.11		24.8346
1998.12		24.7358
1999.01		25.5838
1999.02		26.7698
1999.03		26.7005
1999.04		25.8207
1999.05		25.3357
1999.06		23.9813
1999.07		23.1006
1999.08		23.2923
1999.09		24.4701
1999.1		24.4443
1999.11		24.4406
1999.12		24.4371
2000.01		24.5514
2000.02		25.5136
2000.03		26.5248
2000.04		26.3236
2000.05		25.2045
2000.06		23.5084
2000.07		24.1301
2000.08		24.0395
2000.09		24.0184
2000.1		24.5562
2000.11		25.8349
2000.12		24.6516
2001.01		25.6423
2001.02		26.8772
2001.03		27.1555
2001.04		25.7671
2001.05		24.9937
2001.06		23.4213
2001.07		23.153
2001.08		23.4107
2001.09		24.7741
2001.1		25.855
2001.11		24.8915
2001.12		25.2077
2002.01		25.5658
2002.02		26.4501
2002.03		27.0802
2002.04		26.4038
2002.05		25.7182
2002.06		24.4419
2002.07		23.7321
